Model,Accuracy,Balanced Accuracy,ROC AUC,F1 Score,Time Taken
ExtraTreesClassifier,0.8863095238095238,0.6233905866906041,,0.8692392167858312,2.8417000770568848
RandomForestClassifier,0.8916666666666667,0.6000794937409843,,0.8669434857635894,5.4535815715789795
LabelSpreading,0.8555555555555555,0.6443771576075064,,0.8534149360445009,35.73081851005554
LabelPropagation,0.8549603174603174,0.6440388626142722,,0.8529780316489433,22.958086013793945
KNeighborsClassifier,0.8732142857142857,0.5561134259569394,,0.8441687213816756,1.8896124362945557
BaggingClassifier,0.8636904761904762,0.5677963263173408,,0.8426632629529913,1.9152593612670898
LGBMClassifier,0.8843253968253968,0.5211138502212873,,0.8353041834566867,1.1047556400299072
ExtraTreeClassifier,0.8335317460317461,0.6147646226056976,,0.834865418318157,0.14224934577941895
Perceptron,0.8797619047619047,0.5007123175105062,,0.8238719820031498,0.12067818641662598
RidgeClassifier,0.8797619047619047,0.5,,0.8234883440393257,0.14931488037109375
LogisticRegression,0.8797619047619047,0.5,,0.8234883440393257,0.14786005020141602
GaussianNB,0.8797619047619047,0.5,,0.8234883440393257,0.12994766235351562
CalibratedClassifierCV,0.8797619047619047,0.5,,0.8234883440393257,0.40768980979919434
AdaBoostClassifier,0.8797619047619047,0.5,,0.8234883440393257,2.561168670654297
DummyClassifier,0.8797619047619047,0.5,,0.8234883440393257,0.1038661003112793
BernoulliNB,0.8797619047619047,0.5,,0.8234883440393257,0.21205735206604004
LinearDiscriminantAnalysis,0.8797619047619047,0.5,,0.8234883440393257,0.15287375450134277
SGDClassifier,0.8797619047619047,0.5,,0.8234883440393257,0.15120697021484375
RidgeClassifierCV,0.8797619047619047,0.5,,0.8234883440393257,0.1775524616241455
LinearSVC,0.8797619047619047,0.5,,0.8234883440393257,0.13411664962768555
QuadraticDiscriminantAnalysis,0.8797619047619047,0.5,,0.8234883440393257,0.13910341262817383
SVC,0.8797619047619047,0.5,,0.8234883440393257,50.57977056503296
DecisionTreeClassifier,0.8192460317460317,0.5916868750474507,,0.8224891876313613,0.37615084648132324
PassiveAggressiveClassifier,0.7319444444444444,0.4957696378568845,,0.7571142465216539,0.12004661560058594
NearestCentroid,0.5378968253968254,0.540058369842397,,0.6173774143162168,0.11898350715637207
